_id,ltable_reviewid,rtable_id,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
30845,10734,68215,and who shall go to the ball? and what shall go to the ball?,scott walker,2007,and who shall go to the ball? and what shall go to the ball?,scott walker/scott walker,2007
30905,13279,911921,paint the fence invisible,drug rug,2009,paint the fence invisible,drug rug/drug rug,2009
31731,19244,679714,p.t.s.d. (post traumatic stress disorder),pharoahe monch,2014,p.t.s.d. (post traumatic stress disorder),pharoahe monch/pharoahe monch,2014
31740,13928,1122986,the meat of life,clem snide,2010,the meat of life,clem snide/clem snide,2010
31765,14618,291315,all delighted people ep,sufjan stevens,2010,all delighted people ep,sufjan stevens/sufjan stevens,2010
31942,2201,358845,the cellar door sessions 1970,miles davis,2006,the cellar door sessions 1970,miles davis/miles davis,2005
31963,17229,589650,i love grime,various artists,2012,i love grime,various/various,2012
32412,11091,175440,women as lovers,xiu xiu,2008,women as lovers,xiu xiu/xiu xiu,2008
32459,15742,432784,"ugly buildings, whores & politicians: greatest hits 1998-2009",drive-by truckers,2011,"ugly buildings, whores & politicians: greatest hits 1998-2009",drive-by truckers/drive-by truckers,2011
32482,13693,204646,up to now,snow patrol,2009,up to now,snow patrol/snow patrol,2009
32623,19095,660266,the aquaplano sessions,"donato dozzy, nuel",2014,the aquaplano sessions,donato dozzy/donato dozzy/nuel/nuel,2014
32900,4524,826661,rock 'n' roll singer,mark kozelek,,rock 'n' roll singer,mark kozelek/mark kozelek,2000
32911,19941,757134,kenny dennis iii,serengeti,2014,kenny dennis iii,serengeti/serengeti,2014
33017,16634,505238,cauldron of the wild,witch mountain,2012,cauldron of the wild,witch mountain/witch mountain,2012
33231,8519,454910,"lovers, lead the way!",viva voce,2003,"lovers, lead the way!",viva voce/viva voce,2003
33334,1764,99621,louden up now,!!!,2004,louden up now,!!!/!!!,2004
33569,11508,475564,live at the royal albert hall,the cinematic orchestra,2008,live at the royal albert hall,the heritage orchestra/the heritage orchestra/tim minchin/tim minchin,2011
33704,19099,666993,underneath the rainbow,black lips,2014,underneath the rainbow,the black lips/the black lips,2014
33724,18473,595953,if you wait,london grammar,2013,if you wait,london grammar/london grammar,2013
33726,4846,162662,the strangest things,longwave,2003,the strangest things,longwave/longwave,2003
34069,7857,69215,24 hour party people,various artists,2002,24 hour party people,various/various,2002
34385,2627,289608,wait long by the river and the bodies of your enemies will float by,the drones,2005,wait long by the river and the bodies of your enemies will float by,the drones (2)/the drones (2),2005
34503,13621,180889,the first days of spring,noah and the whale,2009,the first days of spring,noah and the whale/noah and the whale,2009
34513,7428,43632,kill the moonlight,spoon,2002,kill the moonlight,spoon/spoon,2002
34611,15110,289432,"buy the ticket, take the ride",the black ryder,2010,"buy the ticket, take the ride",the black ryder/the black ryder,2009
34613,12207,402223,the family afloat,bound stems,2008,the family afloat,bound stems/bound stems,2008
34727,6326,76234,sleeping with ghosts,placebo,2003,sleeping with ghosts,placebo/placebo,2003
34958,4317,108443,d-d-don't don't stop the beat,junior senior,2003,d-d-don't don't stop the beat,junior senior/junior senior,2002
34969,9706,62205,skin and bones,foo fighters,2006,skin and bones,foo fighters/foo fighters,2006
35254,14925,301693,autre ne veut,autre ne veut,2010,autre ne veut,autre ne veut/autre ne veut,2010
35442,22413,1081869,all the right noises,roman flgel,2016,all the right noises,roman flügel/roman flügel,2016
35443,7079,57475,weekends of sound,764-hero,,weekends of sound,764-hero/764-hero,2000
35507,9550,85652,disciples of california,the skygreen leopards,2006,disciples of california,the skygreen leopards/the skygreen leopards,2006
35704,22062,1022856,sketches from an island 2,mark barrott,2016,sketches from an island 2,mark barrott/mark barrott,2016
35713,10120,84189,eyes set against the sun,mira calix,2007,eyes set against the sun,mira calix/mira calix,2007
35972,2519,64803,ode to joy,the deadly snakes,2003,ode to joy,the deadly snakes/the deadly snakes,2003
36080,15058,311607,stars have shapes,exploding star orchestra,2010,stars have shapes,exploding star orchestra/exploding star orchestra,2010
36122,6790,59606,music kills me,rinocerose,2002,music kills me,rinôçérôse/rinôçérôse,2003
36151,9159,121307,prayer of death,entrance,2006,prayer of death,entrance/entrance,2006
36293,8444,499811,winnipeg is a frozen shithole,venetian snares,2005,winnipeg is a frozen shithole,venetian snares/venetian snares,2005
36832,11986,50842,nude with boots,melvins,2008,nude with boots,melvins/melvins,2008
37557,16301,424437,brain pulse music,masaki batoh,2012,brain pulse music,masaki batoh/masaki batoh,2012
37574,19970,788001,"you, whom i have always hated","the body, thou",2015,"you, whom i have always hated",the body (3)/the body (3)/thou (2)/thou (2),2015
